Day,,Luggage Delivery Times (in minutes),,,
1,6.7,11.7,9.7,7.5,7.8
2,7.6,11.4,9,8.4,9.2
3,9.5,8.9,9.9,8.7,10.7
4,9.8,13.2,6.9,9.3,9.4
5,11,9.9,11.3,11.6,8.5
6,8.3,8.4,9.7,9.8,7.1
7,9.4,9.3,8.2,7.1,6.1
8,11.2,9.8,10.5,9,9.7
9,10,10.7,9,8.2,11
10,8.6,5.8,8.7,9.5,11.4
11,10.7,8.6,9.1,10.9,8.6
12,10.8,8.3,10.6,10.3,10
13,9.5,10.5,7,8.6,10.1
14,12.9,8.9,8.1,9,7.6
15,7.8,9,12.2,9.1,11.7
16,11.1,9.9,8.8,5.5,9.5
17,9.2,9.7,12.3,8.1,8.5
18,9,8.1,10.2,9.7,8.4
19,9.9,10.1,8.9,9.6,7.1
20,10.7,9.8,10.2,8,10.2
21,9,10,9.6,10.6,9
22,10.7,9.8,9.4,7,8.9
23,10.2,10.5,9.5,12.2,9.1
24,10,11.1,9.5,8.8,9.9
25,9.6,8.8,11.4,12.2,9.3
26,8.2,7.9,8.4,9.5,9.2
27,7.1,11.1,10.8,11,10.2
28,11.1,6.6,12,11.5,9.7
