Hour,1,2,3,4
1,19.91,19.62,19.15,19.85
2,20.46,20.44,20.34,19.61
3,20.25,19.73,19.98,20.32
4,20.39,19.43,20.36,19.85
5,20.02,20.02,20.13,20.34
6,19.89,19.77,20.92,20.09
7,19.89,20.45,19.44,19.95
8,20.08,20.13,20.11,19.32
9,20.3,20.42,20.68,19.6
10,20.19,20,20.23,20.59
11,19.66,21.24,20.35,20.34
12,20.3,20.11,19.64,20.29
13,19.83,19.75,20.62,20.6
14,20.27,20.88,20.62,20.4
15,19.98,19.02,20.34,20.34
16,20.46,19.97,20.32,20.83
17,19.74,21.02,19.62,19.9
18,19.85,19.26,19.88,20.2
19,20.77,20.58,19.73,19.48
20,20.21,20.82,20.01,19.93
21,20.3,20.09,20.03,20.13
22,20.48,21.06,20.13,20.42
23,20.6,19.74,20.52,19.42
24,20.2,20.08,20.32,19.51
25,19.66,19.67,20.26,20.41
26,20.72,20.58,20.71,19.99
27,19.77,19.4,20.49,19.83
28,19.99,19.65,19.41,19.58
29,19.44,20.15,20.17,20.76
30,20.03,19.96,19.86,19.91
